Date,Price,Open,High,Low,Vol,Change
9/30/2014,1211.6,1215.7,1220.7,1204.3,182.52K,-0.0059
9/29/2014,1218.8,1219.1,1223.9,1215.3,105.76K,0.0033
9/26/2014,1214.8,1227.7,1230.2,1212.5,0.24K,-0.0055
9/25/2014,1221.5,1216.6,1224.7,1208.5,0.21K,0.0021
9/24/2014,1219,1222.9,1225,1216.4,0.07K,-0.002
9/23/2014,1221.5,1219.2,1235.6,1217,0.10K,0.0035
9/22/2014,1217.3,1215.9,1220,1211.7,0.04K,0.0011
9/19/2014,1216,1219.5,1224.6,1214.9,0.05K,-0.0085
9/18/2014,1226.4,1220,1227.2,1218.9,0.10K,-0.0073
9/17/2014,1235.4,1237.4,1238.7,1221.8,0.29K,-0.0006
9/16/2014,1236.2,1233,1240.2,1232.4,0.34K,0.0014
9/15/2014,1234.5,1232.4,1235.8,1232.4,0.04K,0.0029
9/12/2014,1230.9,1232.8,1239.1,1228.6,0.21K,-0.006
9/11/2014,1238.3,1247.4,1250,1237.4,0.25K,-0.0052
9/10/2014,1244.8,1251.4,1251.4,1244.8,0.02K,-0.0026
9/9/2014,1248,1257.2,1257.7,1248.1,0.02K,-0.0047
9/8/2014,1253.9,1268.3,1268.3,1268.3,0.01K,-0.0103
9/5/2014,1266.9,1262.8,1272.4,1262.8,0.02K,0.0006
9/4/2014,1266.2,1273.3,1274.2,1261,0.01K,-0.003
9/3/2014,1270,1267.1,1268,1262.2,0.01K,0.004
9/2/2014,1264.9,1264.7,1265.3,1264.1,0.02K,-0.0001
9/1/2014,1265,1288.5,1290.9,1263.1,190.58K,-0.0172
8/29/2014,1287.2,1291.1,1297.3,1290.1,0.05K,-0.0021
8/28/2014,1289.9,1289.9,1289.9,1289.9,110.17K,0.0058
8/27/2014,1282.5,1280.9,1287.3,1280.3,6.28K,-0.0014
8/26/2014,1284.3,1275.1,1290.6,1274.8,4.32K,0.0049
8/25/2014,1278,1279.3,1280.8,1274.1,1.93K,-0.001
8/22/2014,1279.3,1277.4,1282.9,1274,2.68K,0.0038
8/21/2014,1274.5,1291.1,1291.2,1272.6,6.03K,-0.0153
8/20/2014,1294.3,1295.3,1298,1287.7,4.28K,-0.0012
8/19/2014,1295.9,1298.7,1302.8,1294.1,4.35K,-0.002
8/18/2014,1298.5,1304.7,1304.7,1295.8,2.89K,-0.0053
8/15/2014,1305.4,1312.8,1315.6,1292.4,6.68K,-0.0072
8/14/2014,1314.9,1312.8,1320.8,1309.4,4.27K,0.0009
8/13/2014,1313.7,1308.6,1315.4,1305.3,2.38K,0.003
8/12/2014,1309.8,1308.3,1318.3,1306.1,9.71K,0.0001
8/11/2014,1309.7,1310,1311.9,1305.6,2.97K,-0.0003
8/8/2014,1310.1,1313.7,1323.1,1305,12.76K,-0.0011
8/7/2014,1311.6,1306.3,1315.5,1302.3,7.60K,0.0032
8/6/2014,1307.4,1288.1,1310.2,1287.9,9.61K,0.0177
8/5/2014,1284.6,1288.5,1294.3,1282.6,5.80K,-0.0029
8/4/2014,1288.3,1294.9,1295.5,1286.4,3.58K,-0.0045
8/1/2014,1294.1,1283.6,1297.3,1280.5,4.91K,0.0095
7/31/2014,1281.9,1296,1297.8,1280.6,7.07K,-0.0108
7/30/2014,1295.9,1300.1,1304,1292.2,6.02K,-0.0024
7/29/2014,1299,1305.1,1312.1,1296.8,1.24K,-0.0039
7/28/2014,1304.1,1305.9,1309.6,1302.4,1.21K,0.0001
7/25/2014,1304,1294.3,1309.2,1292.2,0.70K,0.0098
7/24/2014,1291.4,1304.9,1305.3,1288.6,0.32K,-0.0106
7/23/2014,1305.3,1308.2,1312,1304.7,0.10K,-0.0012
7/22/2014,1306.9,1312.6,1316.3,1303.6,0.19K,-0.0058
7/21/2014,1314.5,1311.2,1319.1,1310.3,0.13K,0.0034
7/18/2014,1310,1321.7,1325.1,1307.4,0.24K,-0.0057
7/17/2014,1317.5,1300.3,1324.7,1300.3,0.25K,0.0131
7/16/2014,1300.4,1295.7,1303.9,1295.7,0.16K,0.0021
7/15/2014,1297.7,1309.5,1314,1294.3,0.18K,-0.0073
7/14/2014,1307.3,1341,1341,1305.7,0.28K,-0.0229
7/11/2014,1338,1337,1340,1336.9,0.27K,-0.0013
7/10/2014,1339.8,1328.8,1346.8,1328.8,0.41K,0.0112
7/9/2014,1325,1322.5,1333,1322.5,2.21K,0.006
7/8/2014,1317.1,1320.8,1325.4,1315.3,0.35K,-0.0004
7/7/2014,1317.6,1320.8,1318.7,1314,2.75K,0.0005
7/4/2014,1317,1321.4,1321.7,1312.1,113.07K,-0.0031
7/3/2014,1321.1,1324.8,1325.1,1319.1,1.35K,-0.0077
7/2/2014,1331.3,1326.1,1331,1322.6,1.38K,0.0035
7/1/2014,1326.7,1328.9,1330.1,1325.2,0.02K,0.0035
6/30/2014,1322.1,1315.6,1330.2,1313.8,0.05K,0.0015
6/27/2014,1320.1,1320.1,1320.1,1320.1,104.66K,0.0024
6/26/2014,1317,1318.7,1320.6,1306.8,134.79K,-0.0042
6/25/2014,1322.6,1318.9,1325.6,1305.4,136.62K,0.001
6/24/2014,1321.3,1318.1,1326.6,1314.5,123.88K,0.0022
6/23/2014,1318.4,1314.9,1319.2,1310.4,109.39K,0.0014
6/20/2014,1316.6,1320.3,1322.5,1307.1,167.79K,0.0019
6/19/2014,1314.1,1278.2,1322,1276.2,237.99K,0.0325
6/18/2014,1272.7,1272.1,1279.2,1266.5,87.91K,0.0006
6/17/2014,1272,1271.8,1273.5,1258,112.83K,-0.0026
6/16/2014,1275.3,1276.8,1285.1,1270.5,98.25K,0.0009
6/13/2014,1274.1,1273.4,1278.1,1270.9,83.63K,0.0001
6/12/2014,1274,1261.1,1275.1,1260,117.42K,0.0101
6/11/2014,1261.2,1260.3,1265.5,1257.9,77.04K,0.0009
6/10/2014,1260.1,1252.7,1263.8,1250.1,107.08K,0.0049
6/9/2014,1253.9,1253,1257.3,1251.6,53.77K,0.0011
6/6/2014,1252.5,1253.7,1258.2,1245.7,112.94K,-0.0006
6/5/2014,1253.3,1244.3,1257.9,1241.2,125.57K,0.0072
6/4/2014,1244.3,1244.9,1249.5,1242.8,76.99K,-0.0002
6/3/2014,1244.5,1244.1,1247.9,1240.2,90.05K,0.0004
6/2/2014,1244,1250.5,1251,1241.1,91.40K,-0.0016
5/30/2014,1246,1255.9,1260.6,1242.2,136.54K,-0.0088
5/29/2014,1257.1,1258.9,1261.5,1251.4,140.23K,-0.002
5/28/2014,1259.6,1265.1,1267.1,1256.4,0.61K,-0.0047
5/27/2014,1265.6,1291,1293.9,1263.3,0.84K,0.0001
5/26/2014,1265.5,1293.6,1294.8,1263.2,252.10K,-0.0204
5/23/2014,1291.8,1295.2,1295.3,1287,0.26K,-0.0025
5/22/2014,1295.1,1292.1,1303.4,1292.1,0.11K,0.0054
5/21/2014,1288.2,1295.1,1295.9,1284,0.12K,-0.005
5/20/2014,1294.7,1294,1296.5,1286.7,0.14K,0.0006
5/19/2014,1293.9,1301.1,1304,1293,0.04K,0.0003
5/16/2014,1293.5,1296,1296,1288,0.09K,-0.0002
5/15/2014,1293.8,1305.3,1305.6,1294,0.08K,-0.0094
5/14/2014,1306.1,1292.7,1307.7,1292,0.08K,0.0086
5/13/2014,1295,1293.7,1297.1,1290.5,0.03K,-0.0007
5/12/2014,1295.9,1284,1303.4,1284,0.06K,0.0063
5/9/2014,1287.8,1289.6,1294.5,1286.4,0.02K,-0.0001
5/8/2014,1287.9,1290.2,1294.6,1286.9,0.06K,-0.0009
5/7/2014,1289.1,1310.6,1310.6,1288,0.07K,-0.0151
5/6/2014,1308.8,1310.2,1310.2,1306.4,0.02K,-0.0005
5/5/2014,1309.5,1306.3,1315.3,1306.3,0.03K,0.0049
5/2/2014,1303.1,1276,1304,1276,0.04K,0.0152
5/1/2014,1283.6,1288.9,1288.9,1279,0.01K,-0.0096
4/30/2014,1296,1296,1296,1296,139.27K,-0.0003
4/29/2014,1296.4,1296.4,1296.4,1296.4,103.82K,-0.002
4/28/2014,1299,1303.2,1306.6,1292.1,102.41K,-0.0014
4/25/2014,1300.8,1293.8,1305.2,1290.4,107.96K,0.0079
4/24/2014,1290.6,1283.9,1299,1268.4,189.29K,0.0047
4/23/2014,1284.6,1284,1289.1,1280.8,98.44K,0.0027
4/22/2014,1281.1,1290.3,1293.1,1275.8,118.73K,-0.0057
4/21/2014,1288.5,1294.9,1302.5,1281.8,101.89K,-0.0042
4/17/2014,1293.9,1302.1,1304.4,1292.8,95.71K,-0.0074
4/16/2014,1303.5,1303.2,1307.1,1293.5,117.47K,0.0025
4/15/2014,1300.3,1326.5,1328.4,1284.4,188.99K,-0.0205
4/14/2014,1327.5,1321,1331.4,1318.7,100.33K,0.0064
4/11/2014,1319,1318.1,1324.2,1314,91.86K,-0.0011
4/10/2014,1320.5,1311.9,1324.9,1311,126.71K,0.0112
4/9/2014,1305.9,1308.5,1315.5,1301.1,125.58K,-0.0024
4/8/2014,1309.1,1296.8,1314.7,1296.8,119.23K,0.0083
4/7/2014,1298.3,1304,1304.8,1295.8,80.28K,-0.004
4/4/2014,1303.5,1286.6,1307.5,1284.4,145.50K,0.0147
4/3/2014,1284.6,1290.4,1294.2,1281.9,98.67K,-0.0048
4/2/2014,1290.8,1279.6,1294.9,1278.9,124.47K,0.0084
4/1/2014,1280,1284.6,1288.4,1277.4,112.92K,-0.003
3/31/2014,1283.8,1295,1299.3,1282.7,133.25K,-0.0081
3/28/2014,1294.3,1292.3,1299.4,1286.1,171.32K,-0.0004
3/27/2014,1294.8,1305,1307.1,1290.1,2.28K,-0.0067
3/26/2014,1303.5,1313.8,1316.4,1299.7,0.80K,-0.0061
3/25/2014,1311.5,1309.2,1317.7,1307.7,0.47K,0.0002
3/24/2014,1311.2,1334.5,1335,1309.2,0.38K,-0.0186
3/21/2014,1336,1329.8,1341.8,1329.8,1.63K,0.004
3/20/2014,1330.7,1326.8,1334.2,1321,0.49K,-0.0081
